GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignment1,com.se310.ledger,Account,4,28,0,0,2,9,1,5,1,5
assignment1,com.se310.ledger,Block,8,59,0,0,4,19,2,11,2,11
assignment1,com.se310.ledger,Ledger,110,469,13,45,27,102,21,27,8,11
assignment1,com.se310.ledger,Transaction,24,55,0,0,12,17,6,8,6,8
assignment1,com.se310.ledger,LedgerException,11,12,0,0,5,5,3,2,3,2
assignment1,com.se310.ledger,MerkleTrees,5,145,0,10,3,33,0,10,0,5
